Treatment,Inoculation,PRL,LR,WN,PN,BN,LRD
Control,Rm1021,17.4,7,0,5,0,0.402298851
Control,Rm1021,19.9,9,0,3,0,0.452261307
Control,Rm1021,20.5,11,0,2,0,0.536585366
Control,Rm1021,19.4,2,1,4,0,0.103092784
Control,Rm1021,20,16,0,5,0,0.8
Control,Rm1021,21.3,15,1,3,0,0.704225352
Control,Rm1021,19.1,5,0,5,0,0.261780105
Control,Rm1021,11.3,1,1,0,0,0.088495575
Control,Rm1021,7.2,2,0,0,0,0.277777778
Control,Rm1021,8.1,3,4,0,0,0.37037037
Control,Rm1021,17.9,2,1,3,0,0.111731844
Control,Rm1021,18.3,3,0,4,0,0.163934426
Control,Rm1021,16.7,2,1,2,0,0.119760479
Control,Rm1021,17.4,2,1,6,0,0.114942529
Control,Rm1021,12.7,1,1,1,0,0.078740157
Control,Rm1021,2.6,0,0,0,0,0
Control,Rm1021,18.3,1,0,5,0,0.054644809
Control,Rm1021,17.1,2,0,0,0,0.116959064
Control,Rm1021,16.7,0,0,6,0,0
Control,Rm1021,17.5,3,6,1,0,0.171428571
Control,Rm1021,15.6,2,0,4,0,0.128205128
Control,Mock,20.1,15,0,0,0,0.746268657
Control,Mock,18.6,6,0,0,0,0.322580645
Control,Mock,17.9,4,0,0,0,0.223463687
Control,Mock,17.7,13,0,0,0,0.734463277
Control,Mock,17.2,7,0,0,0,0.406976744
Control,Mock,17.2,5,0,0,0,0.290697674
Control,Mock,16.5,2,0,0,0,0.121212121
Control,Mock,17.1,4,0,0,0,0.233918129
Control,Mock,13.6,0,0,0,0,0
Control,Mock,13.8,0,0,0,0,0
Control,Mock,20.4,6,0,0,0,0.294117647
Control,Mock,3,0,0,0,0,0
Control,Mock,5.3,0,0,0,0,0
Control,Mock,20.4,14,0,0,0,0.68627451
Control,Mock,14.7,6,0,0,0,0.408163265
Control,Mock,18.5,3,0,0,0,0.162162162
Control,Mock,17,1,0,0,0,0.058823529
Control,Mock,13.6,0,0,0,0,0
Control,Mock,16.4,1,0,0,0,0.06097561
Control,Mock,5.6,0,0,0,0,0
Control,Mock,17.1,1,0,0,0,0.058479532
50mM,Rm1021,19.7,11,2,2,0,0.558375635
50mM,Rm1021,20.1,13,0,3,0,0.646766169
50mM,Rm1021,19.9,10,0,1,0,0.502512563
50mM,Rm1021,21.3,12,0,2,0,0.563380282
50mM,Rm1021,21.4,10,2,0,0,0.46728972
50mM,Rm1021,18.6,10,0,1,0,0.537634409
50mM,Rm1021,18.2,8,0,0,4,0.43956044
50mM,Rm1021,19.1,9,2,4,0,0.471204188
50mM,Rm1021,19.5,10,1,1,0,0.512820513
50mM,Rm1021,20.9,7,0,2,0,0.33492823
50mM,Rm1021,22.5,12,0,3,0,0.533333333
50mM,Rm1021,16.2,4,0,1,0,0.24691358
50mM,Rm1021,14.2,8,0,0,0,0.563380282
50mM,Rm1021,6.9,4,0,2,0,0.579710145
50mM,Rm1021,18.4,11,0,3,0,0.597826087
50mM,Rm1021,18.3,6,0,2,0,0.327868852
50mM,Rm1021,17.5,5,0,1,0,0.285714286
50mM,Rm1021,19.6,6,0,0,0,0.306122449
50mM,Rm1021,14.2,2,0,1,0,0.14084507
50mM,Rm1021,15.8,4,2,1,0,0.253164557
50mM,Rm1021,18.9,11,0,3,0,0.582010582
50mM,Rm1021,10,0,0,0,0,0
50mM,Rm1021,18.2,9,0,2,0,0.494505495
50mM,Rm1021,17,6,3,1,0,0.352941176
50mM,Mock,18.1,12,0,0,0,0.662983425
50mM,Mock,18.6,7,0,0,0,0.376344086
50mM,Mock,19.1,10,0,0,0,0.523560209
50mM,Mock,20,9,0,0,0,0.45
50mM,Mock,18.6,9,0,0,0,0.483870968
50mM,Mock,21.2,9,0,0,0,0.424528302
50mM,Mock,21.3,14,0,0,0,0.657276995
50mM,Mock,16.4,10,0,0,0,0.609756098
50mM,Mock,20.7,7,0,0,0,0.338164251
50mM,Mock,19.8,8,0,0,0,0.404040404
50mM,Mock,20.3,6,0,0,0,0.295566502
50mM,Mock,21.5,9,0,0,0,0.418604651
50mM,Mock,19.7,8,0,0,0,0.406091371
50mM,Mock,18.6,11,0,0,0,0.591397849
50mM,Mock,16.8,3,0,0,0,0.178571429
50mM,Mock,15.8,4,0,0,0,0.253164557
50mM,Mock,16.3,2,0,0,0,0.122699387
50mM,Mock,16.5,4,0,0,0,0.242424242
50mM,Mock,2.4,0,0,0,0,0
50mM,Mock,8.3,0,0,0,0,0
50mM,Mock,13.8,6,0,0,0,0.434782609
50mM,Mock,14.2,3,0,0,0,0.211267606
50mM,Mock,6.6,0,0,0,0,0
50mM,Mock,18.1,8,0,0,0,0.44198895
50mM,Mock,15.8,7,0,0,0,0.443037975
50mM,Mock,15.9,4,0,0,0,0.251572327
50mM,Mock,14.2,0,0,0,0,0
100mM,Rm1021,20.3,11,0,0,0,0.541871921
100mM,Rm1021,17.3,6,1,0,0,0.346820809
100mM,Rm1021,16.4,8,0,1,0,0.487804878
100mM,Rm1021,15.8,6,1,1,0,0.379746835
100mM,Rm1021,16.9,6,0,2,0,0.355029586
100mM,Rm1021,17.4,5,0,1,0,0.287356322
100mM,Rm1021,16.3,7,0,0,1,0.429447853
100mM,Rm1021,17.1,5,0,1,0,0.292397661
100mM,Rm1021,20.1,7,0,1,0,0.348258706
100mM,Rm1021,17.3,10,0,0,0,0.578034682
100mM,Rm1021,14.9,4,1,0,0,0.268456376
100mM,Rm1021,18.7,9,0,0,0,0.481283422
100mM,Rm1021,14.2,6,0,0,0,0.422535211
100mM,Rm1021,14.9,3,0,0,0,0.201342282
100mM,Rm1021,16.2,4,0,0,0,0.24691358
100mM,Rm1021,15.3,5,0,0,0,0.326797386
100mM,Rm1021,11.7,3,0,0,0,0.256410256
100mM,Rm1021,12.9,1,0,0,0,0.07751938
100mM,Mock,18.3,2,0,0,0,0.109289617
100mM,Mock,14.6,1,0,0,0,0.068493151
100mM,Mock,23,6,0,0,0,0.260869565
100mM,Mock,15.1,6,0,0,0,0.397350993
100mM,Mock,19.3,5,0,0,0,0.259067358
100mM,Mock,18.2,6,0,0,0,0.32967033
100mM,Mock,20,4,0,0,0,0.2
100mM,Mock,11.3,4,0,0,0,0.353982301
100mM,Mock,18.5,3,0,0,0,0.162162162
100mM,Mock,19,3,0,0,0,0.157894737
100mM,Mock,17.9,7,0,0,0,0.391061453
100mM,Mock,9.3,4,0,0,0,0.430107527
100mM,Mock,19.3,13,0,0,0,0.67357513
100mM,Mock,15.1,3,0,0,0,0.198675497
100mM,Mock,14.4,4,0,0,0,0.277777778
100mM,Mock,12.6,4,0,0,0,0.317460317
100mM,Mock,16.4,5,0,0,0,0.304878049
100mM,Mock,9.1,1,0,0,0,0.10989011
100mM,Mock,13.8,4,0,0,0,0.289855072
100mM,Mock,18.1,6,0,0,0,0.331491713
100mM,Mock,17.5,6,0,0,0,0.342857143
100mM,Mock,17.3,8,0,0,0,0.462427746
