Latitude,Longitude,Year_start,Year_end,Mean_egg_size,Confidence_limit_egg_size,Mean_ovariole_number,Confidence_limit_ovariole_number,,
-16.88,145.46,1993,1993,0.0098,0.0002,19.058,1.010,,
-16.88,145.46,1993,1993,0.0105,0.0002,20.188,1.157,,
-20.17,148.21,1993,1993,0.0102,0.0003,20.108,1.516,,
-20.17,148.21,1993,1993,0.0103,0.0001,20.693,1.422,,
-23.13,150.75,1993,1993,0.0101,0.0002,19.523,1.489,,
-23.13,150.75,1993,1993,0.0107,0.0003,20.108,1.143,,
-25.55,152.69,1993,1993,0.0101,0.0002,19.044,0.944,,
-25.55,152.69,1993,1993,0.0107,0.0002,20.148,0.864,,
-27.95,153.19,1993,1993,0.0098,0.0003,18.486,0.930,,
-27.95,153.19,1993,1993,0.0099,0.0001,20.586,1.064,,
-30.32,153.03,1993,1993,0.0107,0.0002,18.646,0.971,,
-30.32,153.03,1993,1993,0.0101,0.0002,19.762,1.117,,
-31.90,152.02,1993,1993,0.0102,0.0002,19.403,1.157,,
-32.70,151.09,1993,1993,0.0109,0.0002,21.756,0.718,,
-35.82,145.70,1993,1993,0.0109,0.0002,20.586,1.688,,
-35.82,145.70,1993,1993,0.0107,0.0001,21.211,1.449,,
-37.68,145.41,1993,1993,0.0104,0.0002,19.084,0.784,,
-38.23,145.12,1993,1993,0.0111,0.0003,20.307,0.811,,
-41.18,147.32,1993,1993,0.0113,0.0002,20.759,1.688,,
-42.88,147.29,1993,1993,0.0106,0.0002,23.352,1.436,,
